nucleus,energy,lifetime,lifetime_unit,life_mult,life_sec,Z,A,symbol,latex,natural_lw,combo
18-Ar-35,2693.5,1.775,S,1,1.775,18,35,Ar,$^{35}_{18}Ar$,3.708e-7,35Ar
18-Ar-41,1293.64,109.61,M,60,6576.6,18,41,Ar,$^{41}_{18}Ar$,1.001e-10,41Ar
18-Ar-41,1677,109.61,M,60,6576.6,18,41,Ar,$^{41}_{18}Ar$,1.001e-10,41Ar
18-Ar-43,738.1,5.37,M,60,322.2,18,43,Ar,$^{43}_{18}Ar$,2.043e-9,43Ar
18-Ar-43,974.9,5.37,M,60,322.2,18,43,Ar,$^{43}_{18}Ar$,2.043e-9,43Ar
18-Ar-43,1439.8,5.37,M,60,322.2,18,43,Ar,$^{43}_{18}Ar$,2.043e-9,43Ar
18-Ar-44,182.6,11.87,M,60,712.1999999999999,18,44,Ar,$^{44}_{18}Ar$,9.242e-10,44Ar
18-Ar-44,1703.4,11.87,M,60,712.1999999999999,18,44,Ar,$^{44}_{18}Ar$,9.242e-10,44Ar
18-Ar-44,1886.1,11.87,M,60,712.1999999999999,18,44,Ar,$^{44}_{18}Ar$,9.242e-10,44Ar
18-Ar-45,61.34,21.48,S,1,21.48,18,45,Ar,$^{45}_{18}Ar$,3.064e-8,45Ar
18-Ar-45,1020.04,21.48,S,1,21.48,18,45,Ar,$^{45}_{18}Ar$,3.064e-8,45Ar
